country_name, Index_of_happiness, global_rank, available_data_date, regions
Brasil,6.29,37,2013-2021,Low income countries (World Bank classification)
Guatemala,6.26,38,2013-2021,Low income countries (World Bank classification)
Kazajstán,6.23,39,2013-2021,Low income countries (World Bank classification)
Chipre,6.22,40,2013-2021,Low income countries (World Bank classification)
Letonia,6.18,41,2013-2021,Low income countries (World Bank classification)
Serbia,6.18,42,2013-2021,Low income countries (World Bank classification)
Chile,6.17,43,2013-2021,Low income countries (World Bank classification)
Nicaragua,6.16,44,2013-2021,Low income countries (World Bank classification)
Croacia,6.13,45,2013-2021,Low income countries (World Bank classification)
México,6.13,46,2013-2021,Low income countries (World Bank classification)
El Salvador,6.12,47,2013-2021,Low income countries (World Bank classification)
Polonia,6.12,48,2013-2021,Low income countries (World Bank classification)
Kuwait,6.11,49,2013-2021,Low income countries (World Bank classification)
Hungría,6.09,50,2013-2021,Low income countries (World Bank classification)
Mauricio,6.07,51,2013-2021,Low income countries (World Bank classification)
Uzbekistán,6.06,52,2013-2021,Low income countries (World Bank classification)
Japón,6.04,53,2013-2021,Low income countries (World Bank classification)
Honduras,6.02,54,2013-2021,Low income countries (World Bank classification)
Portugal,6.02,55,2013-2021,Low income countries (World Bank classification)
Argentina,5.97,56,2013-2021,Low income countries (World Bank classification)
Grecia,5.95,57,2013-2021,Low income countries (World Bank classification)
Corea del Sur,5.94,58,2013-2021,Low income countries (World Bank classification)
Filipinas,5.9,59,2013-2021,Low income countries (World Bank classification)
Tailandia,5.89,60,2013-2021,Low income countries (World Bank classification)
Rep. de Moldova,5.86,61,2013-2021,Low income countries (World Bank classification)
Jamaica,5.85,62,2013-2021,Low income countries (World Bank classification)
Kirguistán,5.83,63,2013-2021,Low income countries (World Bank classification)
Belarús,5.82,64,2013-2021,Low income countries (World Bank classification)
Colombia,5.78,65,2013-2021,Low income countries (World Bank classification)
Bosnia y Herz.,5.77,66,2013-2021,Low income countries (World Bank classification)
Mongolia,5.76,67,2013-2021,Low income countries (World Bank classification)
Rep. Dominicana,5.74,68,2013-2021,Low income countries (World Bank classification)
Malasia,5.71,69,2013-2021,Low income countries (World Bank classification)
Bolivia,5.6,70,2013-2021,Low income countries (World Bank classification)
China,5.59,71,2013-2021,Low income countries (World Bank classification)
Paraguay,5.58,72,2013-2021,Low income countries (World Bank classification)
Perú,5.56,73,2013-2021,Low income countries (World Bank classification)
Montenegro,5.55,74,2013-2021,Low income countries (World Bank classification)
Ecuador,5.53,75,2013-2021,Low income countries (World Bank classification)
Viet Nam,5.49,76,2013-2021,Low income countries (World Bank classification)
Turkmenistán,5.47,77,2013-2021,Low income countries (World Bank classification)
Rusia,5.46,78,2013-2021,Low income countries (World Bank classification)
Hong Kong,5.42,79,2013-2021,Low income countries (World Bank classification)
Armenia,5.4,80,2013-2021,Low income countries (World Bank classification)
Nepal,5.38,81,2013-2021,Low income countries (World Bank classification)
Tayikistán,5.38,82,2013-2021,Low income countries (World Bank classification)
Bulgaria,5.37,83,2013-2021,Low income countries (World Bank classification)
Libia,5.33,84,2013-2021,Low income countries (World Bank classification)
Indonesia,5.24,85,2013-2021,Low income countries (World Bank classification)
Côte d'Ivoire,5.23,86,2015-2021,Low income countries (World Bank classification)
Albania,5.2,87,2013-2021,Low income countries (World Bank classification)
Macedonia,5.2,88,2013-2021,Low income countries (World Bank classification)
Sudáfrica,5.19,89,2013-2021,Low income countries (World Bank classification)
Azerbaiyán,5.17,90,2013-2021,Low income countries (World Bank classification)
Bangladesh,5.16,91,2013-2021,Low income countries (World Bank classification)
Gambia,5.16,92,2019-2021,Low income countries (World Bank classification)
Laos,5.14,93,2013-2021,Low income countries (World Bank classification)
Argelia,5.12,94,2013-2021,Low income countries (World Bank classification)
Liberia,5.12,95,2013-2021,Low income countries (World Bank classification)
Ukraine,5.08,96,2013-2021,Low income countries (World Bank classification)
Marruecos,5.06,97,2013-2021,Low income countries (World Bank classification)
Camerún,5.05,98,2013-2021,Low income countries (World Bank classification)
Mozambique,5.05,99,2017-2021,Low income countries (World Bank classification)
Senegal,5.05,100,2013-2021,Low income countries (World Bank classification)
Níger,5,101,2013-2021,Low income countries (World Bank classification)
Georgia,4.97,102,2013-2021,Low income countries (World Bank classification)
Gabón,4.96,103,2013-2021,Low income countries (World Bank classification)
Iraq,4.94,104,2013-2021,Low income countries (World Bank classification)
Venezuela,4.93,105,2013-2021,Low income countries (World Bank classification)
Guinea,4.89,106,2013-2021,Low income countries (World Bank classification)
Irán,4.89,107,2013-2021,Low income countries (World Bank classification)
Ghana,4.87,108,2013-2021,Low income countries (World Bank classification)
Turquía,4.74,109,2013-2021,Low income countries (World Bank classification)
Burkina Faso,4.67,110,2013-2021,Low income countries (World Bank classification)
Camboya,4.64,111,2013-2021,Low income countries (World Bank classification)
Benin,4.62,112,2013-2021,Low income countries (World Bank classification)
Uganda,4.6,113,2013-2021,Low income countries (World Bank classification)
Nigeria,4.55,114,2013-2021,Low income countries (World Bank classification)
Kenya,4.54,115,2013-2021,Low income countries (World Bank classification)
Pakistán,4.52,116,2013-2021,Low income countries (World Bank classification)
Túnez,4.52,117,2013-2021,Low income countries (World Bank classification)
Malí,4.48,118,2013-2021,Low income countries (World Bank classification)
Namibia,4.46,119,2016-2021,Low income countries (World Bank classification)
Swazilandia,4.4,120,2013-2021,Low income countries (World Bank classification)
Myanmar,4.39,121,2013-2021,Low income countries (World Bank classification)
Sri Lanka,4.36,122,2013-2021,Low income countries (World Bank classification)
Madagascar,4.34,123,2013-2021,Low income countries (World Bank classification)
Egipto,4.29,124,2013-2021,Low income countries (World Bank classification)
Chad,4.25,125,2013-2021,Low income countries (World Bank classification)
Etiopía,4.24,126,2013-2021,Low income countries (World Bank classification)
Yemen,4.2,127,2013-2021,Low income countries (World Bank classification)
Jordania,4.15,128,2013-2021,Low income countries (World Bank classification)
Mauritania,4.15,129,2013-2021,Low income countries (World Bank classification)
Togo,4.11,130,2013-2021,Low income countries (World Bank classification)
India,3.78,131,2013-2021,Low income countries (World Bank classification)
Zambia,3.76,132,2013-2021,Low income countries (World Bank classification)
Malawi,3.75,133,2013-2021,Low income countries (World Bank classification)
Tanzanía,3.7,134,2013-2021,Low income countries (World Bank classification)
Sierra Leona,3.57,135,2013-2021,Low income countries (World Bank classification)
Lesotho,3.51,136,2013-2021,Low income countries (World Bank classification)
Botswana,3.47,137,2013-2021,Low income countries (World Bank classification)
Rwanda,3.27,138,2013-2021,Low income countries (World Bank classification)
Zimbabwe,3,139,2013-2021,Low income countries (World Bank classification)
Líbano,2.96,140,2013-2021,Low income countries (World Bank classification)
Afganistán,2.4,141,2013-2021,Low income countries (World Bank classification)
Finlandia,7.82,1,2013-2021,Lower middle income countries (World Bank classification)
Dinamarca,7.64,2,2013-2021,Lower middle income countries (World Bank classification)
Islandia,7.56,3,2013-2021,Lower middle income countries (World Bank classification)
Suiza,7.51,4,2013-2021,Lower middle income countries (World Bank classification)
Países Bajos,7.41,5,2013-2021,Lower middle income countries (World Bank classification)
Luxemburgo,7.4,6,2013-2021,Lower middle income countries (World Bank classification)
Suecia,7.38,7,2013-2021,Lower middle income countries (World Bank classification)
Noruega,7.37,8,2013-2021,Lower middle income countries (World Bank classification)
Israel,7.36,9,2013-2021,Lower middle income countries (World Bank classification)
Nueva Zelanda,7.2,10,2013-2021,Lower middle income countries (World Bank classification)
Australia,7.16,11,2013-2021,Lower middle income countries (World Bank classification)
Austria,7.16,12,2013-2021,Lower middle income countries (World Bank classification)
Irlanda,7.04,13,2013-2021,Lower middle income countries (World Bank classification)
Alemania,7.03,14,2013-2021,Lower middle income countries (World Bank classification)
Canadá,7.03,15,2013-2021,Lower middle income countries (World Bank classification)
Estados Unidos,6.98,16,2013-2021,Lower middle income countries (World Bank classification)
Reino Unido,6.94,17,2013-2021,Lower middle income countries (World Bank classification)
República Checa,6.92,18,2013-2021,Lower middle income countries (World Bank classification)
Bélgica,6.8,19,2013-2021,Lower middle income countries (World Bank classification)
Francia,6.69,20,2013-2021,Lower middle income countries (World Bank classification)
Bahrein,6.65,21,2013-2021,Lower middle income countries (World Bank classification)
Eslovenia,6.63,22,2013-2021,Lower middle income countries (World Bank classification)
Costa Rica,6.58,23,2013-2021,Lower middle income countries (World Bank classification)
Emir. Árab. Uni.,6.58,24,2013-2021,Lower middle income countries (World Bank classification)
Arabia Saudita,6.52,25,2013-2021,Lower middle income countries (World Bank classification)
Taiwan,6.51,26,2013-2021,Lower middle income countries (World Bank classification)
España,6.48,27,2013-2021,Lower middle income countries (World Bank classification)
Romania,6.48,28,2013-2021,Lower middle income countries (World Bank classification)
Singapur,6.48,29,2013-2021,Lower middle income countries (World Bank classification)
Italia,6.47,30,2013-2021,Lower middle income countries (World Bank classification)
Uruguay,6.47,31,2013-2021,Lower middle income countries (World Bank classification)
Lituania,6.45,32,2013-2021,Lower middle income countries (World Bank classification)
Malta,6.45,33,2013-2021,Lower middle income countries (World Bank classification)
Rep. Eslovaca,6.39,34,2013-2021,Lower middle income countries (World Bank classification)
Estonia,6.34,35,2013-2021,Lower middle income countries (World Bank classification)
Panamá,6.31,36,2013-2021,Lower middle income countries (World Bank classification)
Brasil,6.29,37,2013-2021,Lower middle income countries (World Bank classification)
Guatemala,6.26,38,2013-2021,Lower middle income countries (World Bank classification)
Kazajstán,6.23,39,2013-2021,Lower middle income countries (World Bank classification)
Chipre,6.22,40,2013-2021,Lower middle income countries (World Bank classification)
Letonia,6.18,41,2013-2021,Lower middle income countries (World Bank classification)
Serbia,6.18,42,2013-2021,Lower middle income countries (World Bank classification)
Chile,6.17,43,2013-2021,Lower middle income countries (World Bank classification)
Nicaragua,6.16,44,2013-2021,Lower middle income countries (World Bank classification)
Croacia,6.13,45,2013-2021,Lower middle income countries (World Bank classification)
México,6.13,46,2013-2021,Lower middle income countries (World Bank classification)
El Salvador,6.12,47,2013-2021,Lower middle income countries (World Bank classification)
Polonia,6.12,48,2013-2021,Lower middle income countries (World Bank classification)
Kuwait,6.11,49,2013-2021,Lower middle income countries (World Bank classification)
Hungría,6.09,50,2013-2021,Lower middle income countries (World Bank classification)
Mauricio,6.07,51,2013-2021,Lower middle income countries (World Bank classification)
Uzbekistán,6.06,52,2013-2021,Lower middle income countries (World Bank classification)
Japón,6.04,53,2013-2021,Lower middle income countries (World Bank classification)
Honduras,6.02,54,2013-2021,Lower middle income countries (World Bank classification)
Portugal,6.02,55,2013-2021,Lower middle income countries (World Bank classification)
Argentina,5.97,56,2013-2021,Lower middle income countries (World Bank classification)
Grecia,5.95,57,2013-2021,Lower middle income countries (World Bank classification)
Corea del Sur,5.94,58,2013-2021,Lower middle income countries (World Bank classification)
Filipinas,5.9,59,2013-2021,Lower middle income countries (World Bank classification)
Tailandia,5.89,60,2013-2021,Lower middle income countries (World Bank classification)
Rep. de Moldova,5.86,61,2013-2021,Lower middle income countries (World Bank classification)
Jamaica,5.85,62,2013-2021,Lower middle income countries (World Bank classification)
Kirguistán,5.83,63,2013-2021,Lower middle income countries (World Bank classification)
Belarús,5.82,64,2013-2021,Lower middle income countries (World Bank classification)
Colombia,5.78,65,2013-2021,Lower middle income countries (World Bank classification)
Bosnia y Herz.,5.77,66,2013-2021,Lower middle income countries (World Bank classification)
Mongolia,5.76,67,2013-2021,Lower middle income countries (World Bank classification)
Rep. Dominicana,5.74,68,2013-2021,Lower middle income countries (World Bank classification)
Malasia,5.71,69,2013-2021,Lower middle income countries (World Bank classification)
Bolivia,5.6,70,2013-2021,Lower middle income countries (World Bank classification)
China,5.59,71,2013-2021,Lower middle income countries (World Bank classification)
Paraguay,5.58,72,2013-2021,Lower middle income countries (World Bank classification)
Perú,5.56,73,2013-2021,Lower middle income countries (World Bank classification)
Montenegro,5.55,74,2013-2021,Lower middle income countries (World Bank classification)
Ecuador,5.53,75,2013-2021,Lower middle income countries (World Bank classification)
Viet Nam,5.49,76,2013-2021,Lower middle income countries (World Bank classification)
Turkmenistán,5.47,77,2013-2021,Lower middle income countries (World Bank classification)
Rusia,5.46,78,2013-2021,Lower middle income countries (World Bank classification)
Hong Kong,5.42,79,2013-2021,Lower middle income countries (World Bank classification)
Armenia,5.4,80,2013-2021,Lower middle income countries (World Bank classification)
Nepal,5.38,81,2013-2021,Lower middle income countries (World Bank classification)
Tayikistán,5.38,82,2013-2021,Lower middle income countries (World Bank classification)
Bulgaria,5.37,83,2013-2021,Lower middle income countries (World Bank classification)
Libia,5.33,84,2013-2021,Lower middle income countries (World Bank classification)
Indonesia,5.24,85,2013-2021,Lower middle income countries (World Bank classification)
Côte d'Ivoire,5.23,86,2015-2021,Lower middle income countries (World Bank classification)
Albania,5.2,87,2013-2021,Lower middle income countries (World Bank classification)
Macedonia,5.2,88,2013-2021,Lower middle income countries (World Bank classification)
Sudáfrica,5.19,89,2013-2021,Lower middle income countries (World Bank classification)
Azerbaiyán,5.17,90,2013-2021,Lower middle income countries (World Bank classification)
Bangladesh,5.16,91,2013-2021,Lower middle income countries (World Bank classification)
Gambia,5.16,92,2019-2021,Lower middle income countries (World Bank classification)
Laos,5.14,93,2013-2021,Lower middle income countries (World Bank classification)
Argelia,5.12,94,2013-2021,Lower middle income countries (World Bank classification)
Liberia,5.12,95,2013-2021,Lower middle income countries (World Bank classification)
Ukraine,5.08,96,2013-2021,Lower middle income countries (World Bank classification)
Marruecos,5.06,97,2013-2021,Lower middle income countries (World Bank classification)
Camerún,5.05,98,2013-2021,Lower middle income countries (World Bank classification)
Mozambique,5.05,99,2017-2021,Lower middle income countries (World Bank classification)
Senegal,5.05,100,2013-2021,Lower middle income countries (World Bank classification)
Níger,5,101,2013-2021,Lower middle income countries (World Bank classification)
Georgia,4.97,102,2013-2021,Lower middle income countries (World Bank classification)
Gabón,4.96,103,2013-2021,Lower middle income countries (World Bank classification)
Iraq,4.94,104,2013-2021,Lower middle income countries (World Bank classification)
Venezuela,4.93,105,2013-2021,Lower middle income countries (World Bank classification)
Guinea,4.89,106,2013-2021,Lower middle income countries (World Bank classification)
Irán,4.89,107,2013-2021,Lower middle income countries (World Bank classification)
Ghana,4.87,108,2013-2021,Lower middle income countries (World Bank classification)
Turquía,4.74,109,2013-2021,Lower middle income countries (World Bank classification)
Burkina Faso,4.67,110,2013-2021,Lower middle income countries (World Bank classification)
Camboya,4.64,111,2013-2021,Lower middle income countries (World Bank classification)
Benin,4.62,112,2013-2021,Lower middle income countries (World Bank classification)
Uganda,4.6,113,2013-2021,Lower middle income countries (World Bank classification)
Nigeria,4.55,114,2013-2021,Lower middle income countries (World Bank classification)
Kenya,4.54,115,2013-2021,Lower middle income countries (World Bank classification)
Pakistán,4.52,116,2013-2021,Lower middle income countries (World Bank classification)
Túnez,4.52,117,2013-2021,Lower middle income countries (World Bank classification)
Malí,4.48,118,2013-2021,Lower middle income countries (World Bank classification)
Namibia,4.46,119,2016-2021,Lower middle income countries (World Bank classification)
Swazilandia,4.4,120,2013-2021,Lower middle income countries (World Bank classification)
Myanmar,4.39,121,2013-2021,Lower middle income countries (World Bank classification)
Sri Lanka,4.36,122,2013-2021,Lower middle income countries (World Bank classification)
Madagascar,4.34,123,2013-2021,Lower middle income countries (World Bank classification)
Egipto,4.29,124,2013-2021,Lower middle income countries (World Bank classification)
Chad,4.25,125,2013-2021,Lower middle income countries (World Bank classification)
Etiopía,4.24,126,2013-2021,Lower middle income countries (World Bank classification)
Yemen,4.2,127,2013-2021,Lower middle income countries (World Bank classification)
Jordania,4.15,128,2013-2021,Lower middle income countries (World Bank classification)
Mauritania,4.15,129,2013-2021,Lower middle income countries (World Bank classification)
Togo,4.11,130,2013-2021,Lower middle income countries (World Bank classification)
India,3.78,131,2013-2021,Lower middle income countries (World Bank classification)
Zambia,3.76,132,2013-2021,Lower middle income countries (World Bank classification)
Malawi,3.75,133,2013-2021,Lower middle income countries (World Bank classification)
Tanzanía,3.7,134,2013-2021,Lower middle income countries (World Bank classification)
Sierra Leona,3.57,135,2013-2021,Lower middle income countries (World Bank classification)
Lesotho,3.51,136,2013-2021,Lower middle income countries (World Bank classification)
Botswana,3.47,137,2013-2021,Lower middle income countries (World Bank classification)
Rwanda,3.27,138,2013-2021,Lower middle income countries (World Bank classification)
Zimbabwe,3,139,2013-2021,Lower middle income countries (World Bank classification)
Líbano,2.96,140,2013-2021,Lower middle income countries (World Bank classification)
Afganistán,2.4,141,2013-2021,Lower middle income countries (World Bank classification)
Finlandia,7.82,1,2013-2021,Upper middle income countries (World Bank classification)
Dinamarca,7.64,2,2013-2021,Upper middle income countries (World Bank classification)
Islandia,7.56,3,2013-2021,Upper middle income countries (World Bank classification)
Suiza,7.51,4,2013-2021,Upper middle income countries (World Bank classification)
Países Bajos,7.41,5,2013-2021,Upper middle income countries (World Bank classification)
Luxemburgo,7.4,6,2013-2021,Upper middle income countries (World Bank classification)
Suecia,7.38,7,2013-2021,Upper middle income countries (World Bank classification)
Noruega,7.37,8,2013-2021,Upper middle income countries (World Bank classification)
Israel,7.36,9,2013-2021,Upper middle income countries (World Bank classification)
Nueva Zelanda,7.2,10,2013-2021,Upper middle income countries (World Bank classification)
Australia,7.16,11,2013-2021,Upper middle income countries (World Bank classification)
Austria,7.16,12,2013-2021,Upper middle income countries (World Bank classification)
Irlanda,7.04,13,2013-2021,Upper middle income countries (World Bank classification)
Alemania,7.03,14,2013-2021,Upper middle income countries (World Bank classification)
Canadá,7.03,15,2013-2021,Upper middle income countries (World Bank classification)
Estados Unidos,6.98,16,2013-2021,Upper middle income countries (World Bank classification)
Reino Unido,6.94,17,2013-2021,Upper middle income countries (World Bank classification)
República Checa,6.92,18,2013-2021,Upper middle income countries (World Bank classification)
Bélgica,6.8,19,2013-2021,Upper middle income countries (World Bank classification)
Francia,6.69,20,2013-2021,Upper middle income countries (World Bank classification)
Bahrein,6.65,21,2013-2021,Upper middle income countries (World Bank classification)
Eslovenia,6.63,22,2013-2021,Upper middle income countries (World Bank classification)
Costa Rica,6.58,23,2013-2021,Upper middle income countries (World Bank classification)
Emir. Árab. Uni.,6.58,24,2013-2021,Upper middle income countries (World Bank classification)
Arabia Saudita,6.52,25,2013-2021,Upper middle income countries (World Bank classification)
Taiwan,6.51,26,2013-2021,Upper middle income countries (World Bank classification)
España,6.48,27,2013-2021,Upper middle income countries (World Bank classification)
Romania,6.48,28,2013-2021,Upper middle income countries (World Bank classification)
Singapur,6.48,29,2013-2021,Upper middle income countries (World Bank classification)
Italia,6.47,30,2013-2021,Upper middle income countries (World Bank classification)
Uruguay,6.47,31,2013-2021,Upper middle income countries (World Bank classification)
Lituania,6.45,32,2013-2021,Upper middle income countries (World Bank classification)
Malta,6.45,33,2013-2021,Upper middle income countries (World Bank classification)
Rep. Eslovaca,6.39,34,2013-2021,Upper middle income countries (World Bank classification)
Estonia,6.34,35,2013-2021,Upper middle income countries (World Bank classification)
Panamá,6.31,36,2013-2021,Upper middle income countries (World Bank classification)
Brasil,6.29,37,2013-2021,Upper middle income countries (World Bank classification)
Guatemala,6.26,38,2013-2021,Upper middle income countries (World Bank classification)
Kazajstán,6.23,39,2013-2021,Upper middle income countries (World Bank classification)
Chipre,6.22,40,2013-2021,Upper middle income countries (World Bank classification)
Letonia,6.18,41,2013-2021,Upper middle income countries (World Bank classification)
Serbia,6.18,42,2013-2021,Upper middle income countries (World Bank classification)
Chile,6.17,43,2013-2021,Upper middle income countries (World Bank classification)
Nicaragua,6.16,44,2013-2021,Upper middle income countries (World Bank classification)
Croacia,6.13,45,2013-2021,Upper middle income countries (World Bank classification)
México,6.13,46,2013-2021,Upper middle income countries (World Bank classification)
El Salvador,6.12,47,2013-2021,Upper middle income countries (World Bank classification)
Polonia,6.12,48,2013-2021,Upper middle income countries (World Bank classification)
Kuwait,6.11,49,2013-2021,Upper middle income countries (World Bank classification)
Hungría,6.09,50,2013-2021,Upper middle income countries (World Bank classification)
Mauricio,6.07,51,2013-2021,Upper middle income countries (World Bank classification)
Uzbekistán,6.06,52,2013-2021,Upper middle income countries (World Bank classification)
Japón,6.04,53,2013-2021,Upper middle income countries (World Bank classification)
Honduras,6.02,54,2013-2021,Upper middle income countries (World Bank classification)
Portugal,6.02,55,2013-2021,Upper middle income countries (World Bank classification)
Argentina,5.97,56,2013-2021,Upper middle income countries (World Bank classification)
Grecia,5.95,57,2013-2021,Upper middle income countries (World Bank classification)
Corea del Sur,5.94,58,2013-2021,Upper middle income countries (World Bank classification)
Filipinas,5.9,59,2013-2021,Upper middle income countries (World Bank classification)
Tailandia,5.89,60,2013-2021,Upper middle income countries (World Bank classification)
Rep. de Moldova,5.86,61,2013-2021,Upper middle income countries (World Bank classification)
Jamaica,5.85,62,2013-2021,Upper middle income countries (World Bank classification)
Kirguistán,5.83,63,2013-2021,Upper middle income countries (World Bank classification)
Belarús,5.82,64,2013-2021,Upper middle income countries (World Bank classification)
Colombia,5.78,65,2013-2021,Upper middle income countries (World Bank classification)
Bosnia y Herz.,5.77,66,2013-2021,Upper middle income countries (World Bank classification)
Mongolia,5.76,67,2013-2021,Upper middle income countries (World Bank classification)
Rep. Dominicana,5.74,68,2013-2021,Upper middle income countries (World Bank classification)
Malasia,5.71,69,2013-2021,Upper middle income countries (World Bank classification)
Bolivia,5.6,70,2013-2021,Upper middle income countries (World Bank classification)
China,5.59,71,2013-2021,Upper middle income countries (World Bank classification)
Paraguay,5.58,72,2013-2021,Upper middle income countries (World Bank classification)
Perú,5.56,73,2013-2021,Upper middle income countries (World Bank classification)
Montenegro,5.55,74,2013-2021,Upper middle income countries (World Bank classification)
Ecuador,5.53,75,2013-2021,Upper middle income countries (World Bank classification)
Viet Nam,5.49,76,2013-2021,Upper middle income countries (World Bank classification)
Turkmenistán,5.47,77,2013-2021,Upper middle income countries (World Bank classification)
Rusia,5.46,78,2013-2021,Upper middle income countries (World Bank classification)
Hong Kong,5.42,79,2013-2021,Upper middle income countries (World Bank classification)
Armenia,5.4,80,2013-2021,Upper middle income countries (World Bank classification)
Nepal,5.38,81,2013-2021,Upper middle income countries (World Bank classification)
Tayikistán,5.38,82,2013-2021,Upper middle income countries (World Bank classification)
Bulgaria,5.37,83,2013-2021,Upper middle income countries (World Bank classification)
Libia,5.33,84,2013-2021,Upper middle income countries (World Bank classification)
Indonesia,5.24,85,2013-2021,Upper middle income countries (World Bank classification)
Côte d'Ivoire,5.23,86,2015-2021,Upper middle income countries (World Bank classification)
Albania,5.2,87,2013-2021,Upper middle income countries (World Bank classification)
Macedonia,5.2,88,2013-2021,Upper middle income countries (World Bank classification)
Sudáfrica,5.19,89,2013-2021,Upper middle income countries (World Bank classification)
Azerbaiyán,5.17,90,2013-2021,Upper middle income countries (World Bank classification)
Bangladesh,5.16,91,2013-2021,Upper middle income countries (World Bank classification)
Gambia,5.16,92,2019-2021,Upper middle income countries (World Bank classification)
Laos,5.14,93,2013-2021,Upper middle income countries (World Bank classification)
Argelia,5.12,94,2013-2021,Upper middle income countries (World Bank classification)
Liberia,5.12,95,2013-2021,Upper middle income countries (World Bank classification)
Ukraine,5.08,96,2013-2021,Upper middle income countries (World Bank classification)
Marruecos,5.06,97,2013-2021,Upper middle income countries (World Bank classification)
Camerún,5.05,98,2013-2021,Upper middle income countries (World Bank classification)
Mozambique,5.05,99,2017-2021,Upper middle income countries (World Bank classification)
Senegal,5.05,100,2013-2021,Upper middle income countries (World Bank classification)
Níger,5,101,2013-2021,Upper middle income countries (World Bank classification)
Georgia,4.97,102,2013-2021,Upper middle income countries (World Bank classification)
Gabón,4.96,103,2013-2021,Upper middle income countries (World Bank classification)
Iraq,4.94,104,2013-2021,Upper middle income countries (World Bank classification)
Venezuela,4.93,105,2013-2021,Upper middle income countries (World Bank classification)
Guinea,4.89,106,2013-2021,Upper middle income countries (World Bank classification)
Irán,4.89,107,2013-2021,Upper middle income countries (World Bank classification)
Ghana,4.87,108,2013-2021,Upper middle income countries (World Bank classification)
Turquía,4.74,109,2013-2021,Upper middle income countries (World Bank classification)
Burkina Faso,4.67,110,2013-2021,Upper middle income countries (World Bank classification)
Camboya,4.64,111,2013-2021,Upper middle income countries (World Bank classification)
Benin,4.62,112,2013-2021,Upper middle income countries (World Bank classification)
Uganda,4.6,113,2013-2021,Upper middle income countries (World Bank classification)
Nigeria,4.55,114,2013-2021,Upper middle income countries (World Bank classification)
Kenya,4.54,115,2013-2021,Upper middle income countries (World Bank classification)
Pakistán,4.52,116,2013-2021,Upper middle income countries (World Bank classification)
Túnez,4.52,117,2013-2021,Upper middle income countries (World Bank classification)
Malí,4.48,118,2013-2021,Upper middle income countries (World Bank classification)
Namibia,4.46,119,2016-2021,Upper middle income countries (World Bank classification)
Swazilandia,4.4,120,2013-2021,Upper middle income countries (World Bank classification)
Myanmar,4.39,121,2013-2021,Upper middle income countries (World Bank classification)
Sri Lanka,4.36,122,2013-2021,Upper middle income countries (World Bank classification)
Madagascar,4.34,123,2013-2021,Upper middle income countries (World Bank classification)
Egipto,4.29,124,2013-2021,Upper middle income countries (World Bank classification)
Chad,4.25,125,2013-2021,Upper middle income countries (World Bank classification)
Etiopía,4.24,126,2013-2021,Upper middle income countries (World Bank classification)
Yemen,4.2,127,2013-2021,Upper middle income countries (World Bank classification)
Jordania,4.15,128,2013-2021,Upper middle income countries (World Bank classification)
Mauritania,4.15,129,2013-2021,Upper middle income countries (World Bank classification)
Togo,4.11,130,2013-2021,Upper middle income countries (World Bank classification)
India,3.78,131,2013-2021,Upper middle income countries (World Bank classification)
Zambia,3.76,132,2013-2021,Upper middle income countries (World Bank classification)
Malawi,3.75,133,2013-2021,Upper middle income countries (World Bank classification)
Tanzanía,3.7,134,2013-2021,Upper middle income countries (World Bank classification)
Sierra Leona,3.57,135,2013-2021,Upper middle income countries (World Bank classification)
Lesotho,3.51,136,2013-2021,Upper middle income countries (World Bank classification)
Botswana,3.47,137,2013-2021,Upper middle income countries (World Bank classification)
Rwanda,3.27,138,2013-2021,Upper middle income countries (World Bank classification)
Zimbabwe,3,139,2013-2021,Upper middle income countries (World Bank classification)
Líbano,2.96,140,2013-2021,Upper middle income countries (World Bank classification)
Afganistán,2.4,141,2013-2021,Upper middle income countries (World Bank classification)
Finlandia,7.82,1,2013-2021,High income countries (World Bank classification)
Dinamarca,7.64,2,2013-2021,High income countries (World Bank classification)
Islandia,7.56,3,2013-2021,High income countries (World Bank classification)
Suiza,7.51,4,2013-2021,High income countries (World Bank classification)
Países Bajos,7.41,5,2013-2021,High income countries (World Bank classification)
Luxemburgo,7.4,6,2013-2021,High income countries (World Bank classification)
Suecia,7.38,7,2013-2021,High income countries (World Bank classification)
Noruega,7.37,8,2013-2021,High income countries (World Bank classification)
Israel,7.36,9,2013-2021,High income countries (World Bank classification)
Nueva Zelanda,7.2,10,2013-2021,High income countries (World Bank classification)
Australia,7.16,11,2013-2021,High income countries (World Bank classification)
Austria,7.16,12,2013-2021,High income countries (World Bank classification)
Irlanda,7.04,13,2013-2021,High income countries (World Bank classification)
Alemania,7.03,14,2013-2021,High income countries (World Bank classification)
Canadá,7.03,15,2013-2021,High income countries (World Bank classification)
Estados Unidos,6.98,16,2013-2021,High income countries (World Bank classification)
Reino Unido,6.94,17,2013-2021,High income countries (World Bank classification)
República Checa,6.92,18,2013-2021,High income countries (World Bank classification)
Bélgica,6.8,19,2013-2021,High income countries (World Bank classification)
Francia,6.69,20,2013-2021,High income countries (World Bank classification)
Bahrein,6.65,21,2013-2021,High income countries (World Bank classification)
Eslovenia,6.63,22,2013-2021,High income countries (World Bank classification)
Costa Rica,6.58,23,2013-2021,High income countries (World Bank classification)
Emir. Árab. Uni.,6.58,24,2013-2021,High income countries (World Bank classification)
Arabia Saudita,6.52,25,2013-2021,High income countries (World Bank classification)
Taiwan,6.51,26,2013-2021,High income countries (World Bank classification)
España,6.48,27,2013-2021,High income countries (World Bank classification)
